Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 1, True Positive
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 1, True Positive
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 1, True Positive
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 1, True Positive
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 1, Result: 0, False Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
Answer: 0, Result: 0, True Negative
